name,main_category,ratings,no_of_ratings,discount_price,text_for_embedding
GULASS WICK Men Synthetic Lace Up Casual Shoes and Loafers Shoes (Black),footwear_mens,1.4,4,584.0,footwear_mens:GULASS WICK Men Synthetic Lace Up Casual Shoes and Loafers Shoes (Black)
Red Chief Leather with Lace Casual Shoes for Men RC3431,footwear_mens,3.5,695,2254.0,footwear_mens:Red Chief Leather with Lace Casual Shoes for Men RC3431
MUTAQINOTI Men's Tan Classic Italian Leather Loafer Casual Formal Slip On Shoes,footwear_mens,5.0,1,1499.0,footwear_mens:MUTAQINOTI Men's Tan Classic Italian Leather Loafer Casual Formal Slip On Shoes
2N2 Men's Casual Loafers Shoes,footwear_mens,2.0,1,449.0,footwear_mens:2N2 Men's Casual Loafers Shoes
GULASS WICK Men's Synthetic Lace Up Casual Shoes (Tan),footwear_mens,3.3,9,584.0,footwear_mens:GULASS WICK Men's Synthetic Lace Up Casual Shoes (Tan)
"Zenwear Multicolor Casual Loafers, Sneakers Shoes for Men Pack of 2",footwear_mens,3.0,60,549.0,"footwear_mens:Zenwear Multicolor Casual Loafers, Sneakers Shoes for Men Pack of 2"
BUCIK Synthetic Leather Lace-Up Casual/Walking/Sneakers for Men,footwear_mens,5.0,4,764.0,footwear_mens:BUCIK Synthetic Leather Lace-Up Casual/Walking/Sneakers for Men
Fila Mens SOLIEVE Casual Shoes,footwear_mens,1.0,1,1999.0,footwear_mens:Fila Mens SOLIEVE Casual Shoes
VELOUR INDIA Zardozi Hand Embroidery Navy Blue Velvet Loafers Handmade Casual Shoes for Men,footwear_mens,3.0,1,1299.0,footwear_mens:VELOUR INDIA Zardozi Hand Embroidery Navy Blue Velvet Loafers Handmade Casual Shoes for Men
Liberty Men JOHL-202 Formal Shoes,footwear_mens,1.0,2,3039.0,footwear_mens:Liberty Men JOHL-202 Formal Shoes
